Label,RMSE,SSIM,r,SNR,Corners
Noise_0,0.040,0.997,0.997,27.860,13.000
Noise_1,0.068,0.991,0.991,23.322,13.000
Noise_2,0.105,0.978,0.978,19.593,33.000
Noise_3,0.147,0.954,0.955,16.668,72.000
Noise_4,0.191,0.916,0.921,14.360,101.000
Noise_5,0.237,0.860,0.873,12.519,112.000
Noise_6,0.278,0.800,0.825,11.113,128.000
Noise_7,0.316,0.714,0.762,10.002,125.000
Noise_8,0.347,0.616,0.697,9.188,126.000
Noise_9,0.372,0.508,0.634,8.593,121.000
Média,0.210,0.833,0.863,15.322,84.400
Desvio Padrão,0.118,0.171,0.130,6.489,47.899
