Label,RMSE,SSIM,r,SNR,Corners
Noise_0,0.038,0.997,0.997,28.457,26.000
Noise_1,0.074,0.989,0.990,22.581,23.000
Noise_2,0.119,0.972,0.972,18.507,20.000
Noise_3,0.168,0.942,0.942,15.476,15.000
Noise_4,0.220,0.895,0.897,13.136,28.000
Noise_5,0.273,0.827,0.832,11.283,49.000
Noise_6,0.321,0.749,0.764,9.863,68.000
Noise_7,0.365,0.646,0.673,8.748,81.000
Noise_8,0.401,0.522,0.570,7.931,89.000
Noise_9,0.429,0.403,0.461,7.341,108.000
Média,0.241,0.794,0.810,14.332,50.700
Desvio Padrão,0.139,0.209,0.188,6.976,33.467
