Label,RMSE,SSIM,r,SNR,Corners
Noise_0,0.034,0.998,0.998,29.332,27.000
Noise_1,0.072,0.990,0.990,22.871,24.000
Noise_2,0.116,0.973,0.973,18.677,25.000
Noise_3,0.166,0.942,0.943,15.608,39.000
Noise_4,0.218,0.895,0.897,13.248,85.000
Noise_5,0.270,0.826,0.832,11.378,106.000
Noise_6,0.318,0.746,0.763,9.960,114.000
Noise_7,0.362,0.652,0.674,8.837,123.000
Noise_8,0.397,0.535,0.573,8.016,123.000
Noise_9,0.425,0.406,0.461,7.423,128.000
Média,0.238,0.796,0.810,14.535,79.400
Desvio Padrão,0.139,0.207,0.188,7.187,45.346
