Label,RMSE,SSIM,r,SNR,Corners
Noise_0,0.043,0.997,0.997,27.318,14.000
Noise_1,0.073,0.990,0.990,22.683,16.000
Noise_2,0.113,0.974,0.974,18.928,43.000
Noise_3,0.159,0.947,0.948,15.999,100.000
Noise_4,0.207,0.904,0.907,13.685,115.000
Noise_5,0.256,0.841,0.850,11.848,121.000
Noise_6,0.301,0.765,0.790,10.434,132.000
Noise_7,0.342,0.665,0.710,9.319,125.000
Noise_8,0.376,0.550,0.623,8.508,129.000
Noise_9,0.402,0.450,0.530,7.913,123.000
Média,0.227,0.808,0.832,14.664,91.800
Desvio Padrão,0.128,0.195,0.164,6.525,47.974
