Label,RMSE,SSIM,r,SNR,Corners
Noise_0,0.013,1.000,1.000,37.818,34.000
Noise_1,0.032,0.998,0.998,30.008,77.000
Noise_2,0.045,0.996,0.996,26.996,124.000
Noise_3,0.071,0.990,0.990,23.003,123.000
Noise_4,0.088,0.984,0.984,21.112,127.000
Noise_5,0.116,0.970,0.971,18.698,124.000
Noise_6,0.142,0.953,0.959,16.949,126.000
Noise_7,0.171,0.927,0.940,15.317,129.000
Noise_8,0.199,0.896,0.915,14.003,124.000
Noise_9,0.226,0.858,0.886,12.917,121.000
Média,0.110,0.957,0.964,21.682,110.900
Desvio Padrão,0.073,0.049,0.039,7.942,30.985
