Label,RMSE,SSIM,r,SNR,Corners
Noise_0,0.031,0.998,0.998,30.311,13.000
Noise_1,0.038,0.997,0.997,28.328,13.000
Noise_2,0.055,0.994,0.996,25.198,33.000
Noise_3,0.080,0.987,0.992,21.983,72.000
Noise_4,0.110,0.973,0.986,19.139,101.000
Noise_5,0.147,0.949,0.978,16.646,112.000
Noise_6,0.189,0.911,0.957,14.452,128.000
Noise_7,0.236,0.850,0.935,12.548,125.000
Noise_8,0.286,0.761,0.904,10.877,126.000
Noise_9,0.337,0.641,0.859,9.458,121.000
Média,0.151,0.906,0.960,18.894,84.400
Desvio Padrão,0.108,0.121,0.047,7.356,47.899
