Label,RMSE,SSIM,r,SNR,Corners
Noise_0,0.020,0.999,0.999,33.814,26.000
Noise_1,0.029,0.999,0.999,30.682,23.000
Noise_2,0.045,0.996,0.997,26.840,20.000
Noise_3,0.068,0.991,0.994,23.377,15.000
Noise_4,0.095,0.982,0.989,20.481,28.000
Noise_5,0.126,0.966,0.982,18.005,49.000
Noise_6,0.161,0.941,0.973,15.841,68.000
Noise_7,0.200,0.902,0.964,13.984,81.000
Noise_8,0.244,0.839,0.954,12.243,89.000
Noise_9,0.293,0.752,0.913,10.674,108.000
Média,0.128,0.937,0.976,20.594,50.700
Desvio Padrão,0.094,0.083,0.027,7.919,33.467
