Label,RMSE,SSIM,r,SNR,Corners
Noise_0,0.014,1.000,1.000,37.095,27.000
Noise_1,0.026,0.999,0.999,31.704,24.000
Noise_2,0.045,0.996,0.997,27.018,25.000
Noise_3,0.068,0.990,0.994,23.332,39.000
Noise_4,0.096,0.980,0.988,20.326,85.000
Noise_5,0.129,0.962,0.981,17.791,106.000
Noise_6,0.166,0.934,0.970,15.612,114.000
Noise_7,0.206,0.893,0.945,13.733,123.000
Noise_8,0.251,0.828,0.920,12.004,123.000
Noise_9,0.301,0.732,0.881,10.432,128.000
Média,0.130,0.931,0.967,20.905,79.400
Desvio Padrão,0.099,0.089,0.040,8.822,45.346
