Label,RMSE,SSIM,r,SNR,Corners
Noise_0,0.032,0.998,0.998,29.803,14.000
Noise_1,0.041,0.997,0.997,27.678,16.000
Noise_2,0.059,0.993,0.994,24.546,43.000
Noise_3,0.085,0.985,0.989,21.404,100.000
Noise_4,0.117,0.970,0.980,18.644,115.000
Noise_5,0.154,0.945,0.968,16.225,121.000
Noise_6,0.197,0.903,0.951,14.100,132.000
Noise_7,0.244,0.839,0.925,12.254,125.000
Noise_8,0.294,0.747,0.888,10.635,129.000
Noise_9,0.344,0.638,0.802,9.259,123.000
Média,0.157,0.902,0.949,18.455,91.800
Desvio Padrão,0.110,0.124,0.063,7.209,47.974
