Label,RMSE,SSIM,r,SNR,Corners
Noise_0,0.026,0.999,0.999,31.675,34.000
Noise_1,0.056,0.994,0.994,25.043,77.000
Noise_2,0.103,0.980,0.980,19.766,124.000
Noise_3,0.142,0.960,0.961,16.977,123.000
Noise_4,0.194,0.923,0.926,14.262,127.000
Noise_5,0.239,0.878,0.885,12.448,124.000
Noise_6,0.288,0.814,0.827,10.805,126.000
Noise_7,0.333,0.738,0.760,9.541,129.000
Noise_8,0.374,0.657,0.686,8.537,124.000
Noise_9,0.423,0.541,0.577,7.472,121.000
Média,0.218,0.848,0.860,15.653,110.900
Desvio Padrão,0.137,0.158,0.145,7.847,30.985
